"Config","mPolRegcoil","nTorRegcoil","fB","kMax_Error","beta","current","nlambda","Regcoil_sep","L_gradB","L_gradBScalar","Curvature","L_gradSVEuc","L_gradSVMax"
"QI_nfp1_aScaling",20,20,0,6.43171370029449E-05,0,-1.50779996127559E-08,1.60683086154687E-17,4.1563434578174,6.69926420506388,7.68365553700623,7.39035203938263,6.69926420506388,5.70409379130404
"QI_NFP1_r1_test_aScaling",20,20,0,0.000862777233124,0,2.91325123746855E-09,5.10009883035247E-17,4.71329053316564,7.53602884697998,7.45113332737728,7.64593227088103,7.53602884697998,7.24401373405385
"QI_nfp2_aScaling",20,20,0,2.31340527534485E-06,0,7.81492925927552E-09,8.54043116351793E-17,3.00449439800356,5.19185883844148,6.06064146883721,7.66124888075259,5.19185883844148,4.78226739283882
"estell_24_scaled_aScaling",20,20,0,2.14539468288422E-05,0,4.38776619204884E-09,2.77495952240496E-17,2.18595448826868,3.26102902180622,4.15120778751123,5.2851071762967,3.26102902180622,3.02852292182181
"20220609-02-032_QH_nfp3_A6_aScaling",20,20,0,-4.40701842308044E-06,0,1.75554015768853E-08,2.22116404561667E-16,1.8644046455127,3.42767457700983,2.89067260278126,3.50946698960157,3.42767457700983,3.38934160312934
"HSX_without_coil_ripple_nmax4",20,20,0,9.10237431526184E-05,0,1.52113564799716E-08,7.79521284885179E-18,2.81107988791485,4.9336093490494,3.9184497839805,4.02153124479937,4.9336093490494,4.72337120552911
"multiopt_scan_QH_nfp4_20210924-01-031_target_grad_grad_B_5027_aScaling",20,20,0,-3.080815076828E-06,0,-7.18175519054398E-09,2.166354516704E-16,1.36504496725408,2.57224778458006,2.5027571283871,2.59878742337387,2.57224778458006,2.47069345143246
"aten_hires_aScaling",20,20,0,-3.20672988891602E-05,0,-8.9533415403853E-09,4.32115211767827E-17,1.56411015697888,3.0210282808191,2.57732765185218,2.71720609447347,3.0210282808191,2.85089102672971
"new_QA_magwell_aScaling",20,20,0,-1.51991844177246E-06,0,-3.92047505570758E-09,1.46734452172524E-16,2.98058875131412,5.55315224794791,4.76777553422187,5.14782141640984,5.55315224794791,5.21813104079326
"new_QA_aScaling",20,20,0,-9.08970832824707E-07,0,1.89681170076339E-09,2.0115671905816E-16,2.87475999236923,5.29773112459343,5.35280060886631,5.8971710174476,5.29773112459343,5.18675848129227
"20220124_qfm_well0_length24_aScaling",20,20,0,-2.79024243354797E-06,0,-4.58183838092374E-09,2.01113729761288E-16,2.87502353554767,5.30367849202789,5.359190707547,5.89980132004539,5.30367849202789,5.18405757629759
"20220124-01-GiulianiSurfaceOptVmecAnalysis_len24_aScaling",20,20,0,-1.46031379699707E-06,0,-9.13874011188032E-09,2.04936844978665E-16,2.86024762487201,5.26427362707954,5.39118666768844,5.94125657619627,5.26427362707954,5.16352460813037
"QI_nfp3_aScaling",20,20,0,9.57399606704712E-07,0,5.8113236445223E-10,2.92552568354673E-16,1.3712297354655,2.56325197048168,2.89559271973022,2.66258000482483,2.56325197048168,2.36405473064213
"cnt32_368_aScaling",20,20,0,-1.12876296043396E-06,0,1.80089368981631E-08,2.20712195661966E-16,0.518894380737076,1.25070754843819,1.04871180776049,1.36468804859268,1.25070754843819,1.098837277793
"20220124_qfm_well1_length24_aScaling",20,20,0,-2.41026282310486E-06,0,9.82287168271867E-10,1.4706506549131E-16,2.97895380689929,5.55628137168993,4.77136367059403,5.14547289906844,5.55628137168993,5.21698444316993
"multiopt_scan_QH_nfp3_20210924-01-046_QH_nfp3_no_magwell_smaller_6551_aScaling",20,20,0,1.84774398803711E-06,0,-2.91953961006897E-08,1.79519247162975E-16,2.60911025351729,3.91183016509675,3.57513127352522,3.92027798611748,3.91183016509675,3.62309420857012
"20220102-01-055_QH_A6.5_beta0_aScaling",20,20,0,-9.73790884017944E-06,0,-4.12322086196237E-09,2.40937664299232E-16,1.35447809235562,2.73849608882336,2.83888370642974,2.84698517877478,2.73849608882336,2.72014550132532
"cfqs_2b40_hires_aScaling",20,20,0,-3.52412462234497E-06,0,-6.78276879106932E-09,9.00445237177514E-17,1.48391717340715,3.3391608671356,2.56454736893976,3.13648962087641,3.3391608671356,3.08097762136835
"QPS_030703_r1_5mod_bt2_aScaling",20,20,0,-4.18014824390411E-05,0.020077689863405,1089772.15858195,1.36534833300217E-17,0.662536243901175,1.5811763158286,1.86249787317154,1.89715585517128,1.5811763158286,1.51538840426102
"Spong_20160107_ITER_hybridAxisymmFixedBoundary_lasymF_aScaling",20,20,0,2.51829624176025E-06,0.022756274303615,-6706927.8563899,5.94612242977003E-16,1.92476499842764,3.05308157060748,3.07797663706613,3.07807068700687,3.05308157060748,3.01563903985371
"st_a34_i32v22_beta_35_scaledAUG_aScaling",20,20,0,4.47407364845276E-06,0.034974941272718,-1645125.30113151,4.23384954376931E-17,0.798667400650615,1.43897341418588,2.24547288362124,2.24619188313451,1.43897341418588,1.35933360762756
"new_QH_hires_aScaling",20,20,0,-5.97536563873291E-06,0,-7.405100838076E-09,2.0146735139758E-16,1.79601711501086,3.54180610725063,3.67496999302507,3.68144194930227,3.54180610725063,3.51537773493495
"20210728-01-026_QH_nfp4_A8_magwell_aScaling",20,20,0,-3.42726707458496E-06,0,-6.63531729561129E-09,1.21937931702113E-16,1.52055311399254,3.18819869694382,3.44066370896736,3.45576378645159,3.18819869694382,3.16365029476426
"HSX_QHS_vacuum_ns201_aScaling",20,20,0,-1.76243484020233E-05,0,5.42101086242752E-11,3.51919931944084E-18,2.23765551264608,4.90520097851051,4.04900792823134,4.78916843939476,4.90520097851051,4.10823513081124
"CTH_highiota_0kA_aScaling",20,20,0,1.19954347610474E-06,5.91091917489019E-07,1.61437703483092E-09,2.07523846634668E-17,1.65557313612814,1.92586092350114,2.69526680113234,2.79559737787897,1.92586092350114,1.74658024632054
"n4qh.b4.a79a_aScaling",20,20,0,-9.01147723197937E-06,0.040018976149689,1012097.41917561,1.4067666064246E-16,0.405954794546203,0.969113778064403,2.55218363295623,2.56854670500019,0.969113778064403,0.964288068179202
"bila_a3b25_aScaling",20,20,0,1.59703195095062E-05,0,0.10030621067688,1.1279237617204E-16,0.604668693040727,1.17261904583283,1.04741258266894,1.35271344144785,1.17261904583283,1.06906226737661
"GarabedianQAS2_aScaling",20,20,0,-7.63684511184692E-07,0.030228963417124,-3052803.96196853,5.21285923180179E-16,0.618835156186377,1.42140998485691,1.56053310402843,1.56053417620275,1.42140998485691,1.40175301011435
"CTH_0kA_aScaling",20,20,0,1.26659870147705E-06,3.23520244514941E-07,2.75549982137191E-09,5.1181428426795E-17,2.41021443951025,3.66074787826766,3.92936564252049,4.23360402591269,3.66074787826766,3.18516556847026
"QA_beta0p025_iota0p42_dreopt_HIGHERRES_2022-04-15",20,20,0,-1.51246786117554E-06,0.025473591590827,-2721057.59369046,1.01825341933785E-16,3.04193891606102,5.90416097021539,6.16684293871705,6.16684300983394,5.90416097021539,5.70678368980508
"li383_1.4m_aScaling",20,20,0,-1.11758708953857E-06,0.042517552108291,-3349181.40046948,1.98975939396574E-16,0.877106912488957,1.93433081939344,2.36947692738278,2.37089300786959,1.93433081939344,1.82137457015207
"NuhrenbergZille_1988_QHS_aScaling",20,20,0,7.63311982154846E-06,0,6.61797006085152E-09,5.68090313615354E-17,0.93736127639918,1.6582145953698,2.28874568171692,2.15294463683407,1.6582145953698,1.50576179749253
"n3are_R7.75B5.7",20,20,0,-2.31340527534485E-06,0.040578413462482,-3452410.23454376,1.79853619340463E-16,0.865480331823691,1.83746396202177,2.36193716093723,2.36243597415313,1.83746396202177,1.73613774855382
"LNF1714_2537_almostARIESCScaled_beta4",20,20,0,-1.34110450744629E-06,0,-2.45766948459014E-08,5.6965115814745E-17,1.41301477568866,3.26340205932931,3.4164938206904,3.57313968620487,3.26340205932931,3.01577215099056
"ncsx_c09r00_fixed_aScaling",20,20,0,-1.09896063804626E-06,0.040860921556031,-3516611.25867801,6.03168326829628E-17,1.00149021977749,2.32329900159017,2.68203205958297,2.68465237217502,2.32329900159017,2.11259589330325
"TJII_100_44_64_0.0_aScaling",20,20,0,7.45058059692383E-08,0,-6.81204224972642E-09,1.23629677958739E-16,0.563766071581413,1.37769555731059,1.01437307361711,1.10998428659793,1.37769555731059,1.33188043755604
"Drevlak_qh_8_7_aScaling",20,20,0,-5.31598925590515E-06,0.039178909444938,1.30104260698261E-09,3.92612438104763E-16,0.409941378143305,1.05376643430081,0.887178221926133,1.29964502207381,1.05376643430081,0.778688805779214
"20220102-01-053-003_QH_nfp4_aspect6p5_beta0p05_iteratedWithSfincs",20,20,0,-3.01748514175415E-07,0.050826590929522,-2308119.90394567,2.16362439110403E-16,1.30094090528035,2.61200473419816,2.82158183408968,2.82158423429596,2.61200473419816,2.60933090262482
"d23p4_tm_gamma0_aScaling",20,20,0,3.42726707458496E-06,0.04484091477002,7.84962372879505E-10,9.07218309931021E-17,1.28582877597584,2.19411538841874,4.35195842033113,4.35197208188995,2.19411538841874,2.17018225513316
"W7-X_standard_configuration_aScaling",20,20,0,-9.95025038719177E-06,1.61450587935252E-13,1.13407547241984E-09,3.29977789646819E-17,1.381120973084,3.47153155440648,4.74263244673049,4.74524821856624,3.47153155440648,3.38818928514619
"r360_g12538_bq+100_ppkf2.b000_aScaling",20,20,0,3.94880771636963E-07,0,-7.16874476447415E-09,6.3261431480809E-16,0.647548252451185,1.33580270544001,1.07315311440218,1.12654658505363,1.33580270544001,1.21322344345701
"1020_1080_0930_0843_+0000_+0000_01_166_fixedb_aScaling",20,20,0,-1.47446990013123E-05,0.039948222310334,2.99239799605999E-10,4.30889837694604E-17,1.59524501762434,3.69787656298336,5.15254809301031,5.15263874599317,3.69787656298336,3.56888826244129
"r353_g12538_bq+100_ppkf2.b000_aScaling",20,20,0,-8.5681676864624E-07,0,-3.72558971520331E-09,5.93769787097422E-16,0.730208716473146,1.53543843439843,1.23560839973715,1.30614315090635,1.53543843439843,1.40426149263001
"r375_g12538_bq+100_ppkf2.b000_aScaling",20,20,0,-7.74860382080078E-07,0,1.04077987547746E-08,5.25717897957247E-16,0.785802668708713,1.72259078097601,1.38954482156078,1.54078912303728,1.72259078097601,1.56351441587385
"ATF_aScaling",20,20,0,-1.37835741043091E-07,0,-1.79327039329102E-09,2.21335594179133E-16,0.991277783910354,2.17211739201178,1.92334019108389,2.13877754167275,2.17211739201178,1.96592626164439
